Facility Name,City,State,ZIP Code,Payment Measure ID,Payment Measure Name,Payment Category,Payment,Value of Care Display ID,Value of Care Display Name,Value of Care Category,value_code
NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18488,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Worse Mortality and Average Payment,PN
NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,24089,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,15857,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,16435,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Worse Mortality and Lower Payment,PN
CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,15583,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,36049,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,15478,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,26415,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17183,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18197,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,21977,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,25583,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,16927,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18791,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,25395,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,19850,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,HF
SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,20077,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,21836,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
HELEN KELLER HOSPITAL,SHEFFIELD,AL,35660,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24304,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
HELEN KELLER HOSPITAL,SHEFFIELD,AL,35660,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17306,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
HELEN KELLER HOSPITAL,SHEFFIELD,AL,35660,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17453,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
HELEN KELLER HOSPITAL,SHEFFIELD,AL,35660,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,22642,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
DALE MEDICAL CENTER,OZARK,AL,36360,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18137,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
DALE MEDICAL CENTER,OZARK,AL,36360,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17909,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
CHEROKEE MEDICAL CENTER,CENTRE,AL,35960,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,15749,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24457,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18260,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,19072,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Worse Mortality and Average Payment,PN
BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,19155,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,36106,PAYM_30_AMI,Payment for heart attack patients,Greater Than the National Average Payment,28545,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Higher Payment,AMI
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,36106,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18438,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,36106,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18304,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,36106,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,20105,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
EAST ALABAMA MEDICAL CENTER AND SNF,OPELIKA,AL,36801,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,25443,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
EAST ALABAMA MEDICAL CENTER AND SNF,OPELIKA,AL,36801,PAYM_30_HF,Payment for heart failure patients,Less Than the National Average Payment,16122,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Worse Mortality and Lower Payment,HF
EAST ALABAMA MEDICAL CENTER AND SNF,OPELIKA,AL,36801,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,17340,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Worse Mortality and Lower Payment,PN
EAST ALABAMA MEDICAL CENTER AND SNF,OPELIKA,AL,36801,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,20715,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,35233,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24255,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,35233,PAYM_30_HF,Payment for heart failure patients,Less Than the National Average Payment,16569,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Lower Payment,HF
UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,35233,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18233,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Better Mortality and Average Payment,PN
UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,35233,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,24176,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
COMMUNITY HOSPITAL INC,TALLASSEE,AL,36078,PAYM_30_HF,Payment for heart failure patients,Less Than the National Average Payment,15091,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Lower Payment,HF
COMMUNITY HOSPITAL INC,TALLASSEE,AL,36078,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,16214,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,35058,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24588,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,35058,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17370,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,35058,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17866,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,35058,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,21353,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
ANDALUSIA HEALTH,ANDALUSIA,AL,36420,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,23321,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
ANDALUSIA HEALTH,ANDALUSIA,AL,36420,PAYM_30_HF,Payment for heart failure patients,Less Than the National Average Payment,15549,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Lower Payment,HF
ANDALUSIA HEALTH,ANDALUSIA,AL,36420,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17141,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
ANDALUSIA HEALTH,ANDALUSIA,AL,36420,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,21438,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,AL,36201,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,23808,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,AL,36201,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17429,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,AL,36201,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,19170,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,AL,36201,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,24943,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,35801,PAYM_30_AMI,Payment for heart attack patients,Less Than the National Average Payment,23791,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Lower Payment,AMI
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,35801,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17526,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,35801,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17981,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Worse Mortality and Average Payment,PN
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,35801,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Less Than the National Average Payment,18239,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Lower Payment,KNEE
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,35903,PAYM_30_AMI,Payment for heart attack patients,Greater Than the National Average Payment,27988,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Higher Payment,AMI
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,35903,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,20220,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,HF
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,35903,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,20953,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,35903,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,23492,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Worse Complications and Higher Payment,KNEE
MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,35570,PAYM_30_HF,Payment for heart failure patients,Less Than the National Average Payment,15042,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Lower Payment,HF
MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,35570,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,16171,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
FAYETTE MEDICAL CENTER,FAYETTE,AL,35555,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,16225,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
FAYETTE MEDICAL CENTER,FAYETTE,AL,35555,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,16808,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,35901,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,26288,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,35901,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17652,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,35901,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,21779,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,35901,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,22440,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,36330,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,16878,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,36330,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,16591,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,36330,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,22310,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,36853,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,14929,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
FLOWERS HOSPITAL,DOTHAN,AL,36305,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24662,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
FLOWERS HOSPITAL,DOTHAN,AL,36305,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17910,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Worse Mortality and Average Payment,HF
FLOWERS HOSPITAL,DOTHAN,AL,36305,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18794,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Worse Mortality and Average Payment,PN
FLOWERS HOSPITAL,DOTHAN,AL,36305,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,20964,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,35205,PAYM_30_AMI,Payment for heart attack patients,Greater Than the National Average Payment,28089,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Higher Payment,AMI
ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,35205,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18276,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,35205,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,19419,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,PN
ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,35205,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,20921,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
BIBB MEDICAL CENTER,CENTREVILLE,AL,35042,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,18136,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
BIBB MEDICAL CENTER,CENTREVILLE,AL,35042,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,15537,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
LAWRENCE MEDICAL CENTER,MOULTON,AL,35650,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,16390,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
LAWRENCE MEDICAL CENTER,MOULTON,AL,35650,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,15919,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,35768,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,16411,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,35768,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,15203,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,35768,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,25521,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
WIREGRASS MEDICAL CENTER,GENEVA,AL,36340,PAYM_30_HF,Payment for heart failure patients,Less Than the National Average Payment,15660,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Lower Payment,HF
WIREGRASS MEDICAL CENTER,GENEVA,AL,36340,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,16223,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
RUSSELL MEDICAL CENTER,ALEXANDER CITY,AL,35010,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24581,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
RUSSELL MEDICAL CENTER,ALEXANDER CITY,AL,35010,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17321,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
RUSSELL MEDICAL CENTER,ALEXANDER CITY,AL,35010,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17431,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
RUSSELL MEDICAL CENTER,ALEXANDER CITY,AL,35010,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,22377,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,KNEE
MEDICAL CENTER BARBOUR,EUFAULA,AL,36027,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,16509,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
MEDICAL CENTER BARBOUR,EUFAULA,AL,36027,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,16749,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
CLAY COUNTY HOSPITAL,ASHLAND,AL,36251,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,16166,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
CLAY COUNTY HOSPITAL,ASHLAND,AL,36251,PAYM_30_PN,Payment for pneumonia patients,Less Than the National Average Payment,14840,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Lower Payment,PN
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,36207,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,24976,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,AMI
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,36207,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,17899,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,36207,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,18743,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,PN
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,36207,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,22023,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,KNEE
ATHENS LIMESTONE HOSPITAL,ATHENS,AL,35611,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,16318,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,HF
ATHENS LIMESTONE HOSPITAL,ATHENS,AL,35611,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,17802,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Worse Mortality and Average Payment,PN
